apiName,koreanName,appearsInPokemonCount,minLevel,maxLevel,implemented,hasKoreanName,implementationStatus,action,reason
absorb,흡수,7,1,8,true,true,implemented,keep,implemented in move library/adventure moves
acid,용해액,8,1,23,true,true,implemented,keep,implemented in move library/adventure moves
acid-armor,녹기,3,39,64,true,true,implemented,keep,implemented in move library/adventure moves
acupressure,,2,28,28,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
aerial-ace,제비반환,4,13,17,true,true,implemented,keep,implemented in move library/adventure moves
aeroblast,에어로블라스트,1,43,43,true,true,implemented,keep,implemented in move library/adventure moves
agility,고속이동,42,6,64,true,true,implemented,keep,implemented in move library/adventure moves
air-cutter,에어컷터,5,21,27,true,true,implemented,keep,implemented in move library/adventure moves
air-slash,에어슬래시,14,1,62,true,true,implemented,keep,implemented in move library/adventure moves
amnesia,망각술,15,9,65,true,true,implemented,keep,implemented in move library/adventure moves
ancient-power,원시의힘,21,1,57,true,true,implemented,keep,implemented in move library/adventure moves
aqua-jet,아쿠아제트,5,1,31,true,true,implemented,keep,implemented in move library/adventure moves
aqua-ring,,11,23,47,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
aqua-tail,아쿠아테일,15,28,58,true,true,implemented,keep,implemented in move library/adventure moves
aromatherapy,,6,1,60,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
assurance,승부굳히기,15,15,49,true,true,implemented,keep,implemented in move library/adventure moves
astonish,놀래키기,10,1,10,true,true,implemented,keep,implemented in move library/adventure moves
aura-sphere,파동탄,2,100,100,true,true,implemented,keep,implemented in move library/adventure moves
aurora-beam,오로라빔,8,1,36,true,true,implemented,keep,implemented in move library/adventure moves
avalanche,눈사태,2,31,33,true,true,implemented,keep,implemented in move library/adventure moves
barrage,구슬던지기,2,1,1,true,true,implemented,keep,implemented in move library/adventure moves
barrier,배리어,5,1,40,true,true,implemented,keep,implemented in move library/adventure moves
baton-pass,,12,11,80,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
beat-up,,3,27,38,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
belly-drum,,3,17,37,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
bide,,4,1,20,false,false,deferred-special-effect,defer,unsupported or state-machine-heavy effect
bind,조이기,4,1,22,true,true,implemented,keep,implemented in move library/adventure moves
