apiName,koreanName,appearsInPokemonCount,minLevel,maxLevel,reason
acupressure,,2,28,28,unsupported or state-machine-heavy effect
aqua-ring,,11,23,47,unsupported or state-machine-heavy effect
aromatherapy,,6,1,60,unsupported or state-machine-heavy effect
baton-pass,,12,11,80,unsupported or state-machine-heavy effect
beat-up,,3,27,38,unsupported or state-machine-heavy effect
belly-drum,,3,17,37,unsupported or state-machine-heavy effect
bide,,4,1,20,unsupported or state-machine-heavy effect
block,,2,22,36,unsupported or state-machine-heavy effect
camouflage,,1,19,19,unsupported or state-machine-heavy effect
captivate,,10,35,56,unsupported or state-machine-heavy effect
charge,,8,1,57,unsupported or state-machine-heavy effect
confuse-ray,,20,1,37,unsupported or state-machine-heavy effect
conversion,,2,1,1,unsupported or state-machine-heavy effect
conversion-2,,2,1,1,unsupported or state-machine-heavy effect
copycat,,5,1,38,unsupported or state-machine-heavy effect
counter,,4,1,51,unsupported or state-machine-heavy effect
covet,,3,1,1,not implemented safely in this patch
crabhammer,,2,41,56,not implemented safely in this patch
crush-claw,,1,22,22,unsupported or state-machine-heavy effect
curse,,8,1,38,unsupported or state-machine-heavy effect
destiny-bond,,7,1,55,unsupported or state-machine-heavy effect
detect,,4,15,46,unsupported or state-machine-heavy effect
disable,,17,1,25,unsupported or state-machine-heavy effect
double-hit,,7,32,49,not implemented safely in this patch
embargo,,2,40,44,unsupported or state-machine-heavy effect
encore,,8,4,19,unsupported or state-machine-heavy effect
endeavor,,10,21,55,unsupported or state-machine-heavy effect
endure,,9,1,45,not implemented safely in this patch
false-swipe,,5,13,45,not implemented safely in this patch
fissure,,2,40,50,unsupported or state-machine-heavy effect
flail,,14,1,63,unsupported or state-machine-heavy effect
flatter,,4,33,38,unsupported or state-machine-heavy effect
fling,,9,1,57,unsupported or state-machine-heavy effect
follow-me,,5,16,24,unsupported or state-machine-heavy effect
foresight,,12,1,37,unsupported or state-machine-heavy effect
gastro-acid,,5,33,42,not implemented safely in this patch
gravity,,1,34,34,unsupported or state-machine-heavy effect
grudge,,2,41,46,unsupported or state-machine-heavy effect
guard-swap,,6,1,78,unsupported or state-machine-heavy effect
guillotine,,4,31,47,unsupported or state-machine-heavy effect
hail,,1,85,85,unsupported or state-machine-heavy effect
haze,,11,11,57,unsupported or state-machine-heavy effect
heal-bell,,2,1,48,unsupported or state-machine-heavy effect
heal-block,,1,55,55,unsupported or state-machine-heavy effect
healing-wish,,4,42,73,unsupported or state-machine-heavy effect
helping-hand,,14,1,28,unsupported or state-machine-heavy effect
horn-drill,,6,37,58,unsupported or state-machine-heavy effect
hyper-voice,,4,45,56,not implemented safely in this patch
imprison,,2,21,43,unsupported or state-machine-heavy effect
ingrain,,3,1,9,unsupported or state-machine-heavy effect
kinesis,,2,1,1,unsupported or state-machine-heavy effect
light-screen,,19,14,64,unsupported or state-machine-heavy effect
lock-on,,5,6,45,unsupported or state-machine-heavy effect
lucky-chant,,7,12,29,unsupported or state-machine-heavy effect
magic-coat,,2,56,56,unsupported or state-machine-heavy effect
magnet-rise,,7,23,62,unsupported or state-machine-heavy effect
me-first,,8,20,79,unsupported or state-machine-heavy effect
mean-look,,11,8,57,unsupported or state-machine-heavy effect
