apiName,appearsInPokemonCount,minLevel,maxLevel,implementationStatus
acupressure,2,28,28,deferred-special-effect
aqua-ring,11,23,47,deferred-special-effect
aromatherapy,6,1,60,deferred-special-effect
baton-pass,12,11,80,deferred-special-effect
beat-up,3,27,38,deferred-special-effect
belly-drum,3,17,37,deferred-special-effect
bide,4,1,20,deferred-special-effect
block,2,22,36,deferred-special-effect
camouflage,1,19,19,deferred-special-effect
captivate,10,35,56,deferred-special-effect
charge,8,1,57,deferred-special-effect
confuse-ray,20,1,37,deferred-special-effect
conversion,2,1,1,deferred-special-effect
conversion-2,2,1,1,deferred-special-effect
copycat,5,1,38,deferred-special-effect
counter,4,1,51,deferred-special-effect
covet,3,1,1,excluded-unsafe
crabhammer,2,41,56,excluded-unsafe
crush-claw,1,22,22,deferred-special-effect
curse,8,1,38,deferred-special-effect
destiny-bond,7,1,55,deferred-special-effect
detect,4,15,46,deferred-special-effect
disable,17,1,25,deferred-special-effect
double-hit,7,32,49,excluded-unsafe
embargo,2,40,44,deferred-special-effect
encore,8,4,19,deferred-special-effect
endeavor,10,21,55,deferred-special-effect
endure,9,1,45,excluded-unsafe
false-swipe,5,13,45,excluded-unsafe
fissure,2,40,50,deferred-special-effect
flail,14,1,63,deferred-special-effect
flatter,4,33,38,deferred-special-effect
fling,9,1,57,deferred-special-effect
follow-me,5,16,24,deferred-special-effect
foresight,12,1,37,deferred-special-effect
gastro-acid,5,33,42,excluded-unsafe
gravity,1,34,34,deferred-special-effect
grudge,2,41,46,deferred-special-effect
guard-swap,6,1,78,deferred-special-effect
guillotine,4,31,47,deferred-special-effect
hail,1,85,85,deferred-special-effect
haze,11,11,57,deferred-special-effect
heal-bell,2,1,48,deferred-special-effect
heal-block,1,55,55,deferred-special-effect
healing-wish,4,42,73,deferred-special-effect
helping-hand,14,1,28,deferred-special-effect
horn-drill,6,37,58,deferred-special-effect
hyper-voice,4,45,56,excluded-unsafe
imprison,2,21,43,deferred-special-effect
ingrain,3,1,9,deferred-special-effect
kinesis,2,1,1,deferred-special-effect
light-screen,19,14,64,deferred-special-effect
lock-on,5,6,45,deferred-special-effect
lucky-chant,7,12,29,deferred-special-effect
magic-coat,2,56,56,deferred-special-effect
magnet-rise,7,23,62,deferred-special-effect
me-first,8,20,79,deferred-special-effect
mean-look,11,8,57,deferred-special-effect
memento,7,43,65,deferred-special-effect
meteor-mash,1,43,43,excluded-unsafe
metronome,5,1,31,deferred-special-effect
mimic,3,17,41,deferred-special-effect
mind-reader,3,22,53,deferred-special-effect
minimize,8,1,33,deferred-special-effect
miracle-eye,5,17,36,deferred-special-effect
mirror-coat,5,1,57,deferred-special-effect
mirror-move,5,21,56,excluded-unsafe
mist,8,4,48,deferred-special-effect
mud-sport,11,1,5,deferred-special-effect
night-shade,8,6,21,excluded-unsafe
nightmare,4,1,55,deferred-special-effect
odor-sleuth,8,1,22,deferred-special-effect
pain-split,1,28,28,deferred-special-effect
payback,13,24,51,excluded-unsafe
power-swap,6,1,78,deferred-special-effect
power-trick,1,48,48,deferred-special-effect
present,1,1,1,deferred-special-effect
protect,11,1,34,deferred-special-effect
psych-up,9,29,67,deferred-special-effect
psycho-shift,4,33,47,deferred-special-effect
rage,16,1,35,excluded-unsafe
rain-dance,17,15,85,deferred-special-effect
razor-wind,2,33,33,excluded-unsafe
recycle,3,32,34,deferred-special-effect
reflect,13,7,50,deferred-special-effect
refresh,4,9,41,deferred-special-effect
reversal,4,25,57,deferred-special-effect
role-play,3,33,43,deferred-special-effect
safeguard,24,1,93,deferred-special-effect
sandstorm,7,1,52,deferred-special-effect
self-destruct,9,1,29,excluded-unsafe
sheer-cold,3,34,78,deferred-special-effect
sketch,1,1,91,deferred-special-effect
sleep-talk,1,28,28,excluded-unsafe
sonic-boom,5,1,14,excluded-unsafe
spider-web,2,29,32,deferred-special-effect
spikes,5,1,28,deferred-special-effect
spit-up,5,1,28,deferred-special-effect
spite,5,1,21,excluded-unsafe
stockpile,5,1,28,deferred-special-effect
substitute,1,29,29,deferred-special-effect
sunny-day,7,1,85,deferred-special-effect
supersonic,22,1,22,deferred-special-effect
swagger,8,27,45,deferred-special-effect
swallow,4,1,28,deferred-special-effect
switcheroo,2,1,1,deferred-special-effect
tailwind,7,27,64,deferred-special-effect
taunt,4,1,31,deferred-special-effect
toxic-spikes,10,1,35,deferred-special-effect
transform,2,1,1,deferred-special-effect
trick,3,36,46,deferred-special-effect
trump-card,2,53,57,deferred-special-effect
water-sport,7,1,7,deferred-special-effect
wish,4,28,30,deferred-special-effect
worry-seed,9,25,40,deferred-special-effect
wring-out,10,36,63,deferred-special-effect
