pokemonId,pokemonName,koreanName,level,move,koreanMove,method,versionGroup,source
1,bulbasaur,이상해씨,1,tackle,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,3,growl,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,7,leech-seed,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,9,vine-whip,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,13,poison-powder,독가루,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,13,sleep-powder,수면가루,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,15,take-down,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,19,razor-leaf,잎날가르기,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,21,sweet-scent,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,25,growth,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,27,double-edge,이판사판태클,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,31,worry-seed,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,33,synthesis,광합성,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,37,seed-bomb,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,1,growl,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,1,leech-seed,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,1,tackle,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,3,growl,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,7,leech-seed,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,9,vine-whip,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,13,poison-powder,독가루,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,13,sleep-powder,수면가루,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,15,take-down,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,20,razor-leaf,잎날가르기,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,23,sweet-scent,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,28,growth,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,31,double-edge,이판사판태클,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,36,worry-seed,,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,39,synthesis,광합성,level-up,heartgold-soulsilver,pokeapi
2,ivysaur,이상해풀,44,solar-beam,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,1,growl,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,1,leech-seed,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,1,tackle,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,1,vine-whip,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,3,growl,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,7,leech-seed,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,9,vine-whip,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,13,poison-powder,독가루,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,13,sleep-powder,수면가루,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,15,take-down,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,20,razor-leaf,잎날가르기,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,23,sweet-scent,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,28,growth,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,31,double-edge,이판사판태클,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,32,petal-dance,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,39,worry-seed,,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,45,synthesis,광합성,level-up,heartgold-soulsilver,pokeapi
3,venusaur,이상해꽃,53,solar-beam,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,1,growl,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,1,scratch,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,7,ember,작은불꽃,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,10,smokescreen,연막,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,16,dragon-rage,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,19,scary-face,겁나는얼굴,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,25,fire-fang,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,28,slash,베어가르기,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,34,flamethrower,화염방사,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,37,fire-spin,,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,1,ember,작은불꽃,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,1,growl,,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,1,scratch,,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,7,ember,작은불꽃,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,10,smokescreen,연막,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,17,dragon-rage,,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,21,scary-face,겁나는얼굴,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,28,fire-fang,,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,32,slash,베어가르기,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,39,flamethrower,화염방사,level-up,heartgold-soulsilver,pokeapi
5,charmeleon,리자드,43,fire-spin,,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,1,air-slash,에어슬래시,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,1,dragon-claw,드래곤클로,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,1,ember,작은불꽃,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,1,growl,,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,1,scratch,,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,1,shadow-claw,섀도크루,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,1,smokescreen,연막,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,7,ember,작은불꽃,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,10,smokescreen,연막,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,17,dragon-rage,,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,21,scary-face,겁나는얼굴,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,28,fire-fang,,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,32,slash,베어가르기,level-up,heartgold-soulsilver,pokeapi
6,charizard,리자몽,36,wing-attack,날개치기,level-up,heartgold-soulsilver,pokeapi
