pokemonId,pokemonName,koreanName,level,move,koreanMove,method,versionGroup,source
1,bulbasaur,이상해씨,1,tackle,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,3,growl,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,7,leech-seed,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,9,vine-whip,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,13,poison-powder,독가루,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,13,sleep-powder,수면가루,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,15,take-down,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,19,razor-leaf,잎날가르기,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,21,sweet-scent,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,25,growth,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,27,double-edge,이판사판태클,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,31,worry-seed,,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,33,synthesis,광합성,level-up,heartgold-soulsilver,pokeapi
1,bulbasaur,이상해씨,37,seed-bomb,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,1,growl,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,1,scratch,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,7,ember,작은불꽃,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,10,smokescreen,연막,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,16,dragon-rage,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,19,scary-face,겁나는얼굴,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,25,fire-fang,,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,28,slash,베어가르기,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,34,flamethrower,화염방사,level-up,heartgold-soulsilver,pokeapi
4,charmander,파이리,37,fire-spin,,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,1,tackle,,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,4,tail-whip,꼬리흔들기,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,7,bubble,거품,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,10,withdraw,,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,13,water-gun,,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,16,bite,물기,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,19,rapid-spin,,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,22,protect,,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,25,water-pulse,물의파동,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,28,aqua-tail,아쿠아테일,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,31,skull-bash,,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,34,iron-defense,철벽,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,37,rain-dance,,level-up,heartgold-soulsilver,pokeapi
7,squirtle,꼬부기,40,hydro-pump,하이드로펌프,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,1,growl,,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,1,thunder-shock,,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,5,tail-whip,꼬리흔들기,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,10,thunder-wave,전기자석파,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,13,quick-attack,전광석화,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,18,double-team,,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,21,slam,,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,26,thunderbolt,10만볼트,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,29,feint,,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,34,agility,고속이동,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,37,discharge,,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,42,light-screen,,level-up,heartgold-soulsilver,pokeapi
25,pikachu,피카츄,45,thunder,번개,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,1,scratch,,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,3,defense-curl,,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,7,sand-attack,,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,9,poison-sting,독침,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,13,rapid-spin,,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,15,swift,스피드스타,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,19,fury-swipes,,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,21,rollout,,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,25,fury-cutter,연속자르기,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,27,sand-tomb,,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,31,slash,베어가르기,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,33,gyro-ball,,level-up,heartgold-soulsilver,pokeapi
27,sandshrew,모래두지,37,sandstorm,,level-up,heartgold-soulsilver,pokeapi
63,abra,캐이시,1,teleport,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,1,constrict,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,1,withdraw,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,7,bite,물기,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,10,water-gun,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,16,rollout,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,19,leer,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,25,mud-shot,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,28,brine,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,34,protect,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,37,ancient-power,,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,43,tickle,간지르기,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,46,rock-blast,락블라스트,level-up,heartgold-soulsilver,pokeapi
138,omanyte,암나이트,52,hydro-pump,하이드로펌프,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,1,leer,,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,1,wrap,,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,5,thunder-wave,전기자석파,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,11,twister,회오리,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,15,dragon-rage,,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,21,slam,,level-up,heartgold-soulsilver,pokeapi
147,dratini,미뇽,25,agility,고속이동,level-up,heartgold-soulsilver,pokeapi
